AÑO;MES;CENTRO DE RÉGIMEN CERRADO ;VARONES ALOJADOS;MUJERES ALOJADAS
2016;12;San Martín;35;4
2016;12;Agote;44;0
2016;12;Belgrano;20;0
2016;12;Total;99;4
2017;1;San Martín;26;2
2017;1;Agote;20;0
2017;1;Belgrano;19;0
2017;1;Total;65;2
2017;2;San Martín;35;5
2017;2;Agote;41;0
2017;2;Belgrano;18;0
2017;2;Total;99;5
2017;3;San Martín;34;5
2017;3;Agote;34;0
2017;3;Belgrano;20;0
2017;3;Total;88;5
2017;4;San Martín;33;5
2017;4;Agote;37;0
2017;4;Belgrano;19;0
2017;4;Total;89;5
2017;5;San Martín;30;7
2017;5;Agote;41;0
2017;5;Belgrano;17;0
2017;5;Total;88;7
2017;6;San Martín;29;4
2017;6;Agote;41;0
2017;6;Belgrano;17;0
2017;6;Total;87;4
2017;7;San Martín;30;4
2017;7;Agote;36;0
2017;7;Belgrano;12;0
2017;7;Total;78;4
2017;8;San Martín;23;9
2017;8;Agote;37;0
2017;8;Belgrano;14;0
2017;8;Total;74;9
2017;9;San Martín;29;6
2017;9;Agote;36;0
2017;9;Belgrano;10;0
2017;9;Total;75;6
2017;10;San Martín;32;2
2017;10;Agote;33;0
2017;10;Belgrano;11;0
2017;10;Total;76;2
2017;11;San Martín;31;5
2017;11;Agote;30;0
2017;11;Belgrano;12;0
2017;11;Total;73;5
2017;12;San Martín;31;4
2017;12;Agote;24;0
2017;12;Belgrano;12;0
2017;12;Total;67;4
2018;1;San Martín;19;3
2018;1;Agote;16;0
2018;1;Belgrano;12;0
2018;1;Total;47;3
2018;2;San Martín;23;6
2018;2;Agote;21;0
2018;2;Belgrano;14;0
2018;2;Total;58;6
2018;3;San Martín;48;7
2018;3;Agote;21;0
2018;3;Belgrano;2;0
2018;3;Total;71;7
2018;4;San Martín;30;4
2018;4;Agote;22;0
2018;4;Belgrano;17;0
2018;4;Total;69;4
2018;5;San Martín;36;4
2018;5;Agote;22;0
2018;5;Belgrano;21;0
2018;5;Total;79;4
2018;6;San Martín;46;6
2018;6;Agote;23;0
2018;6;Belgrano;22;0
2018;6;Total;91;6
2018;7;San Martín;52;6
2018;7;Agote;19;0
2018;7;Belgrano;16;0
2018;7;Total;87;6
2018;8;San Martín;13;3
2018;8;Agote;16;0
2018;8;Belgrano;12;0
2018;8;Total;41;6
2018;9;San Martín;15;3
2018;9;Agote;13;0
2018;9;Belgrano;12;0
2018;9;Total;40;3
